trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
6,1,male,ardilla,16,2,Target_Stimuli/male/ardilla.mp3,1.76957E+12,0.2,1000.2,1000,0.1,6027,1.76957E+12,1.76957E+12,1500,19,019_trial6_male_ardilla.wav,1000.1,1182.063,181.962,ok,-40,FALSE,
22,1,female,basurero,23,2,Target_Stimuli/female/basurero.mp3,1.76957E+12,0.3,1192.175,1191.875,0.2,6021.7,1.76957E+12,1.76957E+12,1500,19,019_trial22_female_basurero.wav,1191.975,2095.792,903.817,ok,-40,FALSE,
19,1,female,caballo,11,1,Target_Stimuli/female/caballo.mp3,1.76957E+12,0.1,879.975,879.875,0.1,6016.2,1.76957E+12,1.76957E+12,1500,19,019_trial19_female_caballo.wav,879.875,2592.542,1712.667,ok,-40,FALSE,
16,1,male,cebolla,14,2,Target_Stimuli/male/cebolla.mp3,1.76957E+12,0.2,881.2,881,0.2,6034.3,1.76957E+12,1.76957E+12,1500,19,019_trial16_male_cebolla.wav,881,1956.063,1075.063,ok,-40,FALSE,
17,1,female,cinta,8,1,Target_Stimuli/female/cinta.mp3,1.76957E+12,0.2,810.075,809.875,0.1,6028.8,1.76957E+12,1.76957E+12,1500,19,019_trial17_female_cinta.wav,809.975,2036.75,1226.775,ok,-40,FALSE,
20,1,female,conejo,20,2,Target_Stimuli/female/conejo.mp3,1.76957E+12,0.2,945.075,944.875,0.1,6036.9,1.76957E+12,1.76957E+12,1500,19,019_trial20_female_conejo.wav,944.975,1732.042,787.067,ok,-40,FALSE,
24,1,male,cuaderno,15,2,Target_Stimuli/male/cuaderno.mp3,1.76957E+12,0.1,993.1,993,0.1,6020.5,1.76957E+12,1.76957E+12,1500,19,019_trial24_male_cuaderno.wav,993,2402.75,1409.75,ok,-40,FALSE,
5,1,female,elote,12,1,Target_Stimuli/female/elote.mp3,1.76957E+12,0.3,923.175,922.875,0.2,6014.9,1.76957E+12,1.76957E+12,1500,19,019_trial5_female_elote.wav,922.975,2845.229,1922.254,ok,-40,FALSE,
3,1,male,fresas,9,1,Target_Stimuli/male/fresas.mp3,1.76957E+12,0.1,1002.1,1002,0,6015.1,1.76957E+12,1.76957E+12,1500,19,019_trial3_male_fresas.wav,1002.1,2027.979,1025.879,ok,-40,FALSE,
4,1,male,gato,21,2,Target_Stimuli/male/gato.mp3,1.76957E+12,0.2,856.2,856,0.1,6031.3,1.76957E+12,1.76957E+12,1500,19,019_trial4_male_gato.wav,856.1,1723.458,867.358,ok,-40,FALSE,
15,1,female,grapadora,7,1,Target_Stimuli/female/grapadora.mp3,1.76957E+12,0.2,1216.075,1215.875,0.1,6030.3,1.76957E+12,1.76957E+12,1500,19,019_trial15_female_grapadora.wav,1215.975,1728.75,512.775,ok,-40,FALSE,
10,1,male,hongos,13,2,Target_Stimuli/male/hongos.mp3,1.76957E+12,0.2,958.2,958,0,6021,1.76957E+12,1.76957E+12,1500,19,019_trial10_male_hongos.wav,958.2,1295.021,336.821,ok,-40,FALSE,
12,1,female,lapiz,19,2,Target_Stimuli/female/lapiz.mp3,1.76957E+12,0.2,898.075,897.875,0.2,6034.3,1.76957E+12,1.76957E+12,1500,19,019_trial12_female_lapiz.wav,897.875,1710.958,813.083,ok,-40,FALSE,
2,1,female,lechuga,18,2,Target_Stimuli/female/lechuga.mp3,1.76957E+12,0.2,1063.075,1062.875,0.2,6022.9,1.76957E+12,1.76957E+12,1500,19,019_trial2_female_lechuga.wav,1062.875,1619.167,556.292,ok,-40,FALSE,
8,1,male,loro,17,2,Target_Stimuli/male/loro.mp3,1.76957E+12,0.2,870.2,870,0.1,6024.3,1.76957E+12,1.76957E+12,1500,19,019_trial8_male_loro.wav,870.1,1893.833,1023.733,ok,-40,FALSE,
13,1,male,manzana,1,1,Target_Stimuli/male/manzana.mp3,1.76957E+12,0.1,1164.1,1164,0,6029,1.76957E+12,1.76957E+12,1500,19,019_trial13_male_manzana.wav,1164.1,2206.813,1042.712,ok,-40,FALSE,
18,1,female,naranja,22,2,Target_Stimuli/female/naranja.mp3,1.76957E+12,0.2,1121.075,1120.875,0.1,6020.4,1.76957E+12,1.76957E+12,1500,19,019_trial18_female_naranja.wav,1120.975,3245.354,2124.379,ok,-40,FALSE,
7,1,female,oso,2,1,Target_Stimuli/female/oso.mp3,1.76957E+12,0.1,805.975,805.875,0.1,6031.9,1.76957E+12,1.76957E+12,1500,19,019_trial7_female_oso.wav,805.875,1348.438,542.563,ok,-40,FALSE,
21,1,male,pato,6,1,Target_Stimuli/male/pato.mp3,1.76957E+12,0.1,744.1,744,0,6019,1.76957E+12,1.76957E+12,1500,19,019_trial21_male_pato.wav,744.1,2453.875,1709.775,ok,-40,FALSE,
14,1,female,pez,24,2,Target_Stimuli/female/pez.mp3,1.76957E+12,0.1,595.975,595.875,0,6026.8,1.76957E+12,1.76957E+12,1500,19,019_trial14_female_pez.wav,595.975,1752.354,1156.379,ok,-40,FALSE,
