trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,naranja,22,2,naranja.jpg,1769658648877,1.600,1769658648878.6,1.600,6029.500,1769658648878.6,1769658654906.5,1500,30,30_naranja.wav,0.000,1965.625,1965.625,ok,-40.000,false,
2,caballo,11,1,caballo.jpg,1769658656450,0.200,1769658656450.2,0.200,6029.100,1769658656450.2,1769658662479.1,1500,30,30_caballo.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
3,cuaderno,15,2,cuaderno.jpg,1769658664014,0.300,1769658664014.3,0.300,6021.100,1769658664014.3,1769658670035.1,1500,30,30_cuaderno.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
4,elote,12,1,elote.jpg,1769658671566,0.200,1769658671566.2,0.200,6013.300,1769658671566.2,1769658677579.3,1500,30,30_elote.wav,0.000,2689.542,2689.542,ok,-40.000,false,
5,basurero,23,2,basurero.jpg,1769658679114,0.100,1769658679114.1,0.100,6019.300,1769658679114.1,1769658685133.3,1500,30,30_basurero.wav,0.000,2850.250,2850.250,ok,-40.000,false,
6,cinta,8,1,cinta.jpg,1769658686677,0.100,1769658686677.1,0.100,6030.500,1769658686677.1,1769658692707.5,1500,30,30_cinta.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
7,lápiz,19,2,lapiz.jpg,1769658694242,0.100,1769658694242.1,0.100,6023.800,1769658694242.1,1769658700265.8,1500,30,30_lápiz.wav,0.000,1923.750,1923.750,ok,-40.000,false,
8,grapadora,7,1,grapadora.jpg,1769658701805,0.300,1769658701805.3,0.300,6023.000,1769658701805.3,1769658707828,1500,30,30_grapadora.wav,0.000,2744.438,2744.438,ok,-40.000,false,
9,gato,21,2,gato.jpg,1769658709368,1.000,1769658709369,1.000,6021.300,1769658709369,1769658715389.3,1500,30,30_gato.wav,0.000,1905.104,1905.104,ok,-40.000,false,
10,sandía,5,1,sandia.jpg,1769658716932,1.600,1769658716933.6,1.600,6024.900,1769658716933.6,1769658722956.9,1500,30,30_sandía.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
11,cebolla,14,2,cebolla.jpg,1769658724501,0.200,1769658724501.2,0.200,6028.500,1769658724501.2,1769658730529.5,1500,30,30_cebolla.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
12,tiza,10,1,tiza.jpg,1769658732077,0.300,1769658732077.3,0.300,6020.000,1769658732077.3,1769658738097,1500,30,30_tiza.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
13,ardilla,16,2,ardilla.jpg,1769658739634,1.000,1769658739635,1.000,6026.400,1769658739635,1769658745660.4,1500,30,30_ardilla.wav,0.000,2629.354,2629.354,ok,-40.000,false,
14,fresas,9,1,fresas.jpg,1769658747195,0.400,1769658747195.4,0.400,6022.300,1769658747195.4,1769658753217.3,1500,30,30_fresas.wav,0.000,3336.438,3336.438,ok,-40.000,false,
15,lechuga,18,2,lechuga.jpg,1769658754765,0.700,1769658754765.7,0.700,6022.200,1769658754765.7,1769658760787.2,1500,30,30_lechuga.wav,0.000,4020.187,4020.187,ok,-40.000,false,
16,tijeras,4,1,tijeras.jpg,1769658762328,3.500,1769658762331.5,3.500,6027.200,1769658762331.5,1769658768355.2,1500,30,30_tijeras.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
17,conejo,20,2,conejo.jpg,1769658769898,1.800,1769658769899.8,1.800,6019.200,1769658769899.8,1769658775917.2,1500,30,30_conejo.wav,0.000,2039.438,2039.438,ok,-40.000,false,
18,pato,6,1,pato.jpg,1769658777457,0.100,1769658777457.1,0.100,6024.700,1769658777457.1,1769658783481.7,1500,30,30_pato.wav,0.000,2389.792,2389.792,ok,-40.000,false,
19,loro,17,2,loro.jpg,1769658785023,0.600,1769658785023.6,0.600,6024.600,1769658785023.6,1769658791047.6,1500,30,30_loro.wav,0.000,1687.292,1687.292,ok,-40.000,false,
20,oso,2,1,oso.jpg,1769658792589,0.700,1769658792589.7,0.700,6027.400,1769658792589.7,1769658798616.4,1500,30,30_oso.wav,0.000,2915.979,2915.979,ok,-40.000,false,
21,pez,24,2,pez.jpg,1769658800156,0.400,1769658800156.4,0.400,6026.400,1769658800156.4,1769658806182.4,1500,30,30_pez.wav,0.000,4006.167,4006.167,ok,-40.000,false,
22,reloj,3,1,reloj.jpg,1769658807724,1.000,1769658807725,1.000,6024.900,1769658807725,1769658813748.9,1500,30,30_reloj.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
23,hongos,13,2,hongos.jpg,1769658815293,0.900,1769658815293.9,0.900,6023.600,1769658815293.9,1769658821316.6,1500,30,30_hongos.wav,0.000,1900.583,1900.583,ok,-40.000,false,
24,manzana,1,1,manzana.jpg,1769658822858,0.400,1769658822858.4,0.400,6019.000,1769658822858.4,1769658828877,1500,30,30_manzana.wav,0.000,3899.292,3899.292,ok,-40.000,false,
