trial,attempt,voice,word,word_id,list,audio_file,trial_start_epoch_ms,playback_onset_ms,playback_end_ms,stimulus_duration_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,playback_end_ms_rel,onset_ms_from_recording_start,latency_ms_from_playback_end,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,1,male,gato,21,2,Target_Stimuli/male/gato.mp3,1768789979106,0.100,856.100,856.000,0.100,6013.400,1768789979106.1,1768789985119.4,1500,2,2_trial1_male_gato.wav,856.000,1624.604,768.604,ok,-40.000,false,
2,1,female,cinta,8,1,Target_Stimuli/female/cinta.mp3,1768789986640,0.100,809.975,809.875,0.100,6021.900,1768789986640.1,1768789992661.9,1500,2,2_trial2_female_cinta.wav,809.875,2929.854,2119.979,ok,-40.000,false,
3,1,male,ardilla,16,2,Target_Stimuli/male/ardilla.mp3,1768789994190,0.000,1000.000,1000.000,0.000,6012.700,1768789994190,1768790000202.7,1500,2,2_trial3_male_ardilla.wav,1000.000,2541.500,1541.500,ok,-40.000,false,
4,1,female,grapadora,7,1,Target_Stimuli/female/grapadora.mp3,1768790001720,0.100,1215.975,1215.875,0.100,6022.400,1768790001720.1,1768790007742.4,1500,2,2_trial4_female_grapadora.wav,1215.875,1583.938,368.063,ok,-40.000,false,
5,1,female,basurero,23,2,Target_Stimuli/female/basurero.mp3,1768790009259,0.000,1191.875,1191.875,0.000,6021.200,1768790009259,1768790015280.2,1500,2,2_trial5_female_basurero.wav,1191.875,2834.417,1642.542,ok,-40.000,false,
6,1,male,fresas,9,1,Target_Stimuli/male/fresas.mp3,1768790016806,0.000,1002.000,1002.000,0.000,6018.600,1768790016806,1768790022824.6,1500,2,2_trial6_male_fresas.wav,1002.000,,,no_speech_detected,-16.937,true,No onset above threshold after playback end
7,1,female,cebolla,14,2,Target_Stimuli/female/cebolla.mp3,1768790024344,0.200,881.075,880.875,0.100,6018.100,1768790024344.1,1768790030362.1,1500,2,2_trial7_female_cebolla.wav,880.975,1926.646,1045.671,ok,-40.000,false,
8,1,female,tiza,10,1,Target_Stimuli/female/tiza.mp3,1768790031874,0.100,796.975,796.875,0.000,6013.800,1768790031874,1768790037887.8,1500,2,2_trial8_female_tiza.wav,796.975,,,no_speech_detected,-13.979,true,No onset above threshold after playback end
9,1,male,cuaderno,15,2,Target_Stimuli/male/cuaderno.mp3,1768790039402,0.000,993.000,993.000,0.000,6024.800,1768790039402,1768790045426.8,1500,2,2_trial9_male_cuaderno.wav,993.000,2775.646,1782.646,ok,-40.000,false,
10,1,male,sandía,5,1,Target_Stimuli/male/sandia.mp3,1768790046938,0.100,1946.058,1945.958,0.100,6020.400,1768790046938.1,1768790052958.4,1500,2,2_trial10_male_sandia.wav,1945.958,2426.625,480.667,ok,-40.000,false,
11,1,female,pez,24,2,Target_Stimuli/female/pez.mp3,1768790054485,0.000,595.875,595.875,0.000,6014.700,1768790054485,1768790060499.7,1500,2,2_trial11_female_pez.wav,595.875,2586.896,1991.021,ok,-40.000,false,
12,1,female,caballo,11,1,Target_Stimuli/female/caballo.mp3,1768790062019,0.000,879.875,879.875,0.000,6011.400,1768790062019,1768790068030.4,1500,2,2_trial12_female_caballo.wav,879.875,1479.875,600.000,ok,-40.000,false,
13,1,female,lechuga,18,2,Target_Stimuli/female/lechuga.mp3,1768790069556,0.200,1063.075,1062.875,0.100,6024.500,1768790069556.1,1768790075580.5,1500,2,2_trial13_female_lechuga.wav,1062.975,1482.146,419.171,ok,-40.000,false,
14,1,female,reloj,3,1,Target_Stimuli/female/reloj.mp3,1768790077097,0.000,964.875,964.875,0.000,6014.300,1768790077097,1768790083111.3,1500,2,2_trial14_female_reloj.wav,964.875,4373.083,3408.208,ok,-40.000,false,
15,1,male,hongos,13,2,Target_Stimuli/male/hongos.mp3,1768790084635,0.100,958.100,958.000,0.100,6018.900,1768790084635.1,1768790090653.9,1500,2,2_trial15_male_hongos.wav,958.000,2502.750,1544.750,ok,-40.000,false,
16,1,male,oso,2,1,Target_Stimuli/male/oso.mp3,1768790092166,0.100,806.100,806.000,0.100,6016.300,1768790092166.1,1768790098182.3,1500,2,2_trial16_male_oso.wav,806.000,1458.542,652.542,ok,-40.000,false,
17,1,male,lápiz,19,2,Target_Stimuli/male/lapiz.mp3,1768790099700,0.000,898.000,898.000,0.000,6017.100,1768790099700,1768790105717.1,1500,2,2_trial17_male_lapiz.wav,898.000,2752.229,1854.229,ok,-40.000,false,
18,1,female,elote,12,1,Target_Stimuli/female/elote.mp3,1768790107236,0.200,923.075,922.875,0.100,6020.000,1768790107236.1,1768790113256,1500,2,2_trial18_female_elote.wav,922.975,1978.729,1055.754,ok,-40.000,false,
19,1,male,naranja,22,2,Target_Stimuli/male/naranja.mp3,1768790114784,0.100,1121.100,1121.000,0.100,6022.800,1768790114784.1,1768790120806.8,1500,2,2_trial19_male_naranja.wav,1121.000,1420.271,299.271,ok,-40.000,false,
20,1,male,tijeras,4,1,Target_Stimuli/male/tijeras.mp3,1768790122320,0.100,1008.100,1008.000,0.100,6024.800,1768790122320.1,1768790128344.8,1500,2,2_trial20_male_tijeras.wav,1008.000,,,no_speech_detected,-14.066,true,No onset above threshold after playback end
21,1,female,conejo,20,2,Target_Stimuli/female/conejo.mp3,1768790129865,0.100,944.975,944.875,0.100,6019.900,1768790129865.1,1768790135884.9,1500,2,2_trial21_female_conejo.wav,944.875,1922.938,978.063,ok,-40.000,false,
22,1,male,pato,6,1,Target_Stimuli/male/pato.mp3,1768790137400,0.100,744.100,744.000,0.100,6013.500,1768790137400.1,1768790143413.5,1500,2,2_trial22_male_pato.wav,744.000,1422.354,678.354,ok,-40.000,false,
23,1,female,loro,17,2,Target_Stimuli/female/loro.mp3,1768790144929,0.100,869.975,869.875,0.100,6013.200,1768790144929.1,1768790150942.2,1500,2,2_trial23_female_loro.wav,869.875,2658.375,1788.500,ok,-40.000,false,
24,1,male,manzana,1,1,Target_Stimuli/male/manzana.mp3,1768790152461,0.100,1164.100,1164.000,0.000,6014.500,1768790152461,1768790158475.5,1500,2,2_trial24_male_manzana.wav,1164.100,2087.500,923.400,ok,-40.000,false,
