trial,word,word_id,list,image_file,trial_start_epoch_ms,image_onset_ms,image_onset_epoch_ms,recording_start_ms,recording_end_ms,recording_start_epoch_ms,recording_end_epoch_ms,iti_ms,participant_id,recording_file,image_onset_ms_rel,onset_ms_from_recording_start,latency_ms_from_image_onset,latency_status,latency_dynamic_threshold_db,latency_fallback_used,latency_note
1,pato,6,1,pato.jpg,1771292914226,0.300,1771292914226.3,0.300,6022.000,1771292914226.3,1771292920248,1500,65,65_pato.wav,0.000,1516.354,1516.354,ok,-40.000,false,
2,ardilla,16,2,ardilla.jpg,1771292921766,0.500,1771292921766.5,0.500,6021.300,1771292921766.5,1771292927787.3,1500,65,65_ardilla.wav,0.000,2342.000,2342.000,ok,-40.000,false,
3,reloj,3,1,reloj.jpg,1771292929303,0.400,1771292929303.4,0.400,6014.300,1771292929303.4,1771292935317.3,1500,65,65_reloj.wav,0.000,2353.229,2353.229,ok,-40.000,false,
4,hongos,13,2,hongos.jpg,1771292936845,0.200,1771292936845.2,0.200,6025.400,1771292936845.2,1771292942870.4,1500,65,65_hongos.wav,0.000,2599.167,2599.167,ok,-40.000,false,
5,caballo,11,1,caballo.jpg,1771292944395,0.200,1771292944395.2,0.200,6020.800,1771292944395.2,1771292950415.8,1500,65,65_caballo.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
6,pez,24,2,pez.jpg,1771292951945,0.300,1771292951945.3,0.300,6021.200,1771292951945.3,1771292957966.2,1500,65,65_pez.wav,0.000,1414.646,1414.646,ok,-40.000,false,
7,tijeras,4,1,tijeras.jpg,1771292959491,0.300,1771292959491.3,0.300,6019.500,1771292959491.3,1771292965510.5,1500,65,65_tijeras.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
8,lápiz,19,2,lapiz.jpg,1771292967027,0.300,1771292967027.3,0.300,6015.500,1771292967027.3,1771292973042.5,1500,65,65_lápiz.wav,0.000,5145.104,5145.104,ok,-45.000,true,
9,fresas,9,1,fresas.jpg,1771292974565,0.400,1771292974565.4,0.400,6016.800,1771292974565.4,1771292980581.8,1500,65,65_fresas.wav,0.000,2873.208,2873.208,ok,-40.000,false,
10,lechuga,18,2,lechuga.jpg,1771292982096,0.300,1771292982096.3,0.300,6017.500,1771292982096.3,1771292988113.5,1500,65,65_lechuga.wav,0.000,4118.271,4118.271,ok,-40.000,false,
11,tiza,10,1,tiza.jpg,1771292989629,0.200,1771292989629.2,0.200,6010.000,1771292989629.2,1771292995639,1500,65,65_tiza.wav,0.000,5294.938,5294.938,ok,-40.000,false,
12,gato,21,2,gato.jpg,1771292997154,0.300,1771292997154.3,0.300,6023.000,1771292997154.3,1771293003177,1500,65,65_gato.wav,0.000,1088.542,1088.542,ok,-40.000,false,
13,cinta,8,1,cinta.jpg,1771293004700,0.500,1771293004700.5,0.500,6019.900,1771293004700.5,1771293010719.9,1500,65,65_cinta.wav,0.000,1359.042,1359.042,ok,-40.000,false,
14,loro,17,2,loro.jpg,1771293012234,0.300,1771293012234.3,0.300,6026.500,1771293012234.3,1771293018260.5,1500,65,65_loro.wav,0.000,2584.458,2584.458,ok,-40.000,false,
15,elote,12,1,elote.jpg,1771293019776,0.300,1771293019776.3,0.300,6023.000,1771293019776.3,1771293025799,1500,65,65_elote.wav,0.000,2058.583,2058.583,ok,-40.000,false,
16,naranja,22,2,naranja.jpg,1771293027313,0.500,1771293027313.5,0.500,6012.400,1771293027313.5,1771293033325.4,1500,65,65_naranja.wav,0.000,3383.875,3383.875,ok,-40.000,false,
17,grapadora,7,1,grapadora.jpg,1771293034852,0.300,1771293034852.3,0.300,6017.800,1771293034852.3,1771293040869.8,1500,65,65_grapadora.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
18,cuaderno,15,2,cuaderno.jpg,1771293042388,0.200,1771293042388.2,0.200,6014.100,1771293042388.2,1771293048402.1,1500,65,65_cuaderno.wav,0.000,1778.896,1778.896,ok,-45.000,true,
19,oso,2,1,oso.jpg,1771293049918,0.100,1771293049918.1,0.100,6018.600,1771293049918.1,1771293055936.6,1500,65,65_oso.wav,0.000,4249.979,4249.979,ok,-40.000,false,
20,cebolla,14,2,cebolla.jpg,1771293057456,0.200,1771293057456.2,0.300,6023.100,1771293057456.3,1771293063479.1,1500,65,65_cebolla.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
21,sandía,5,1,sandia.jpg,1771293064992,0.400,1771293064992.4,0.400,6024.700,1771293064992.4,1771293071016.7,1500,65,65_sandía.wav,0.000,1490.146,1490.146,ok,-40.000,false,
22,conejo,20,2,conejo.jpg,1771293072535,0.300,1771293072535.3,0.300,6023.300,1771293072535.3,1771293078558.3,1500,65,65_conejo.wav,0.000,2535.833,2535.833,ok,-40.000,false,
23,manzana,1,1,manzana.jpg,1771293080078,0.300,1771293080078.3,0.300,6020.000,1771293080078.3,1771293086098,1500,65,65_manzana.wav,0.000,2528.354,2528.354,ok,-40.000,false,
24,basurero,23,2,basurero.jpg,1771293087617,0.200,1771293087617.2,0.200,6012.700,1771293087617.2,1771293093629.7,1500,65,65_basurero.wav,0.000,,,no_speech_detected,-45.000,true,No onset above threshold after image onset
